country,date_month_string,positive_per_country,neutral_per_country,negative_per_country,positive_rate_per_country,neutral_rate_per_country,negative_rate_per_country,date_month_number,positive_globally,neutral_globally,negative_globally,positive_rate_globally,neutral_rate_globally,negative_rate_globally
Croatia,2021-03,1,0,0,1,0,0,4,4144,4110,2025,0.4031520575931511,0.3998443428349061,0.1970035995719428
Croatia,2021-04,0,1,1,0,0.5,0.5,5,4253,3622,2687,0.40266994887331947,0.3429274758568453,0.2544025752698353
Croatia,2021-05,0,2,0,0,1,0,6,2594,2705,1190,0.3997534288796425,0.41685930035444596,0.18338727076591155
Croatia,2021-06,0,0,1,0,0,1,7,3857,3515,1710,0.4246861924686193,0.38702928870292885,0.18828451882845187
Croatia,2021-07,0,1,0,0,1,0,8,1908,2802,801,0.3462166575939031,0.5084376701143168,0.14534567229178008
Croatia,2021-08,0,1,1,0,0.5,0.5,9,3099,3247,1801,0.38038541794525593,0.3985516140910765,0.22106296796366762
Croatia,2021-09,1,0,0,1,0,0,10,1890,1834,769,0.420654351212998,0.4081905185844647,0.17115513020253728
Croatia,2021-10,1,0,0,1,0,0,11,2320,1504,825,0.499032049903205,0.3235104323510432,0.17745751774575177
Croatia,2021-11,0,0,1,0,0,1,12,1643,835,684,0.5196078431372549,0.2640733712839975,0.21631878557874762
Cuba,2021-02,1,0,0,1,0,0,3,1610,1435,735,0.42592592592592593,0.37962962962962965,0.19444444444444445
Cuba,2021-03,0,0,1,0,0,1,4,4144,4110,2025,0.4031520575931511,0.3998443428349061,0.1970035995719428
Cuba,2021-04,0,1,0,0,1,0,5,4253,3622,2687,0.40266994887331947,0.3429274758568453,0.2544025752698353
Cuba,2021-06,2,1,0,0.6666666666666666,0.3333333333333333,0,7,3857,3515,1710,0.4246861924686193,0.38702928870292885,0.18828451882845187
Cuba,2021-07,1,0,0,1,0,0,8,1908,2802,801,0.3462166575939031,0.5084376701143168,0.14534567229178008
Cuba,2021-09,3,2,0,0.6,0.4,0,10,1890,1834,769,0.420654351212998,0.4081905185844647,0.17115513020253728
Cuba,2021-10,1,0,0,1,0,0,11,2320,1504,825,0.499032049903205,0.3235104323510432,0.17745751774575177
Cuba,2021-11,2,0,0,1,0,0,12,1643,835,684,0.5196078431372549,0.2640733712839975,0.21631878557874762
Cyprus,2020-12,1,2,6,0.1111111111111111,0.2222222222222222,0.6666666666666666,1,330,274,117,0.4576976421636616,0.3800277392510402,0.1622746185852982
Cyprus,2021-01,0,2,1,0,0.6666666666666666,0.3333333333333333,2,446,283,230,0.46506777893639206,0.29509906152241916,0.23983315954118875
Cyprus,2021-02,2,0,1,0.6666666666666666,0,0.3333333333333333,3,1610,1435,735,0.42592592592592593,0.37962962962962965,0.19444444444444445
Cyprus,2021-03,5,3,2,0.5,0.3,0.2,4,4144,4110,2025,0.4031520575931511,0.3998443428349061,0.1970035995719428
Cyprus,2021-04,1,5,0,0.16666666666666666,0.8333333333333334,0,5,4253,3622,2687,0.40266994887331947,0.3429274758568453,0.2544025752698353
Cyprus,2021-05,1,0,0,1,0,0,6,2594,2705,1190,0.3997534288796425,0.41685930035444596,0.18338727076591155
Cyprus,2021-06,4,3,0,0.5714285714285714,0.42857142857142855,0,7,3857,3515,1710,0.4246861924686193,0.38702928870292885,0.18828451882845187
Cyprus,2021-07,4,3,1,0.5,0.375,0.125,8,1908,2802,801,0.3462166575939031,0.5084376701143168,0.14534567229178008
Cyprus,2021-08,1,2,1,0.25,0.5,0.25,9,3099,3247,1801,0.38038541794525593,0.3985516140910765,0.22106296796366762
Cyprus,2021-09,0,0,2,0,0,1,10,1890,1834,769,0.420654351212998,0.4081905185844647,0.17115513020253728
Cyprus,2021-10,1,0,0,1,0,0,11,2320,1504,825,0.499032049903205,0.3235104323510432,0.17745751774575177
Cyprus,2021-11,0,1,0,0,1,0,12,1643,835,684,0.5196078431372549,0.2640733712839975,0.21631878557874762
Czech Republic,2021-02,3,1,1,0.6,0.2,0.2,3,1610,1435,735,0.42592592592592593,0.37962962962962965,0.19444444444444445
Czech Republic,2021-03,10,12,1,0.43478260869565216,0.5217391304347826,0.043478260869565216,4,4144,4110,2025,0.4031520575931511,0.3998443428349061,0.1970035995719428
Czech Republic,2021-04,3,4,4,0.2727272727272727,0.36363636363636365,0.36363636363636365,5,4253,3622,2687,0.40266994887331947,0.3429274758568453,0.2544025752698353
Czech Republic,2021-05,1,1,0,0.5,0.5,0,6,2594,2705,1190,0.3997534288796425,0.41685930035444596,0.18338727076591155
Czech Republic,2021-06,1,1,0,0.5,0.5,0,7,3857,3515,1710,0.4246861924686193,0.38702928870292885,0.18828451882845187
Czech Republic,2021-08,1,0,0,1,0,0,9,3099,3247,1801,0.38038541794525593,0.3985516140910765,0.22106296796366762
Czech Republic,2021-09,0,1,0,0,1,0,10,1890,1834,769,0.420654351212998,0.4081905185844647,0.17115513020253728
Czech Republic,2021-10,0,0,1,0,0,1,11,2320,1504,825,0.499032049903205,0.3235104323510432,0.17745751774575177
Denmark,2020-12,0,1,0,0,1,0,1,330,274,117,0.4576976421636616,0.3800277392510402,0.1622746185852982
Denmark,2021-01,0,0,16,0,0,1,2,446,283,230,0.46506777893639206,0.29509906152241916,0.23983315954118875
