country,date_month_string,monthly_vaccinations_per_country,monthly_vaccinations_per_million_per_country,date_month_number,monthly_vaccinations_globally
Bhutan,2021-03,433335,555629,4,340529467
Bhutan,2021-04,307630,394445,5,533501731
Bhutan,2021-05,2745,3519,6,792994644
Bhutan,2021-06,2574,3306,7,1136984197
Bhutan,2021-07,466157,597714,8,1060429251
Bhutan,2021-08,91327,117101,9,1201442306
Bhutan,2021-09,37886,48579,10,969014866
Bhutan,2021-10,48662,62396,11,805830936
Bolivia,2021-01,54,5,2,93138028
Bolivia,2021-02,17259,1455,3,170467452
Bolivia,2021-03,253495,21421,4,340529467
Bolivia,2021-04,458190,38722,5,533501731
Bolivia,2021-05,856735,72403,6,792994644
Bolivia,2021-06,841618,71124,7,1136984197
Bolivia,2021-07,1884921,159294,8,1060429251
Bolivia,2021-08,1493750,126235,9,1201442306
Bolivia,2021-09,867382,73300,10,969014866
Bolivia,2021-10,1016211,85876,11,805830936
Bolivia,2021-11,286615,24222,12,582593278
Bonaire Sint Eustatius and Saba,2021-04,4116,155652,5,533501731
Bonaire Sint Eustatius and Saba,2021-05,6076,229772,6,792994644
Bonaire Sint Eustatius and Saba,2021-06,5880,222360,7,1136984197
Bonaire Sint Eustatius and Saba,2021-07,6076,229772,8,1060429251
Bonaire Sint Eustatius and Saba,2021-08,6076,229772,9,1201442306
Bonaire Sint Eustatius and Saba,2021-09,196,7412,10,969014866
Bosnia and Herzegovina,2021-02,9758,2992,3,170467452
Bosnia and Herzegovina,2021-03,17794,5456,4,340529467
Bosnia and Herzegovina,2021-04,67402,20658,5,533501731
Bosnia and Herzegovina,2021-05,159488,48872,6,792994644
Bosnia and Herzegovina,2021-06,203627,62397,7,1136984197
Bosnia and Herzegovina,2021-07,244502,74921,8,1060429251
Bosnia and Herzegovina,2021-08,293265,89865,9,1201442306
Bosnia and Herzegovina,2021-09,231389,70910,10,969014866
Bosnia and Herzegovina,2021-10,231823,71027,11,805830936
Bosnia and Herzegovina,2021-11,45606,13975,12,582593278
Botswana,2021-03,9708,4050,4,340529467
Botswana,2021-04,43904,18317,5,533501731
Botswana,2021-05,93051,38818,6,792994644
Botswana,2021-06,105058,43825,7,1136984197
Botswana,2021-07,111169,46378,8,1060429251
Botswana,2021-08,116620,48646,9,1201442306
Botswana,2021-09,146359,61051,10,969014866
Botswana,2021-10,325800,135906,11,805830936
Botswana,2021-11,260121,108511,12,582593278
Brazil,2021-01,1430187,6684,2,93138028
Brazil,2021-02,6379701,29813,3,170467452
Brazil,2021-03,9963316,46558,4,340529467
Brazil,2021-04,22332746,104362,5,533501731
Brazil,2021-05,25844185,120770,6,792994644
Brazil,2021-06,30639121,143178,7,1136984197
Brazil,2021-07,41085013,191991,8,1060429251
Brazil,2021-08,50666500,236768,9,1201442306
Brazil,2021-09,45044918,210499,10,969014866
Brazil,2021-10,39660501,185336,11,805830936
Brazil,2021-11,21496549,100454,12,582593278
British Virgin Islands,2021-05,1862,61201,6,792994644
British Virgin Islands,2021-06,5296,174080,7,1136984197
British Virgin Islands,2021-07,5838,191892,8,1060429251
British Virgin Islands,2021-08,2819,92659,9,1201442306
British Virgin Islands,2021-09,2331,76620,10,969014866
British Virgin Islands,2021-10,1205,39608,11,805830936
British Virgin Islands,2021-11,677,22252,12,582593278
Brunei,2021-04,15372,34816,5,533501731
Brunei,2021-05,35897,81300,6,792994644
Brunei,2021-06,28979,65634,7,1136984197
Brunei,2021-07,77359,175203,8,1060429251
Brunei,2021-08,148039,335283,9,1201442306
Brunei,2021-09,162564,368182,10,969014866
Brunei,2021-10,136668,309530,11,805830936
Brunei,2021-11,83485,189082,12,582593278
Bulgaria,2020-12,4366,633,1,8698776
Bulgaria,2021-01,34273,4969,2,93138028
Bulgaria,2021-02,144782,20992,3,170467452
Bulgaria,2021-03,261477,37912,4,340529467
Bulgaria,2021-04,318730,46217,5,533501731
Bulgaria,2021-05,570317,82694,6,792994644
Bulgaria,2021-06,401775,58257,7,1136984197
Bulgaria,2021-07,268672,38962,8,1060429251
Bulgaria,2021-08,283610,41125,9,1201442306
Bulgaria,2021-09,233017,33785,10,969014866
Bulgaria,2021-10,297317,43110,11,805830936
Bulgaria,2021-11,313873,45509,12,582593278
Burkina Faso,2021-06,27943,1305,7,1136984197
Burkina Faso,2021-07,11240,518,8,1060429251
Burkina Faso,2021-08,68503,3183,9,1201442306
Burkina Faso,2021-09,162098,7537,10,969014866
Burkina Faso,2021-10,308222,14341,11,805830936
Burkina Faso,2021-11,69568,3236,12,582593278
Burundi,2021-10,701,59,11,805830936
Burundi,2021-11,598,47,12,582593278
Cambodia,2021-02,58431,3448,3,170467452
Cambodia,2021-03,536238,31641,4,340529467
Cambodia,2021-04,1536052,90639,5,533501731
Cambodia,2021-05,2192175,129358,6,792994644
Cambodia,2021-06,2530842,149342,7,1136984197
Cambodia,2021-07,4813027,284014,8,1060429251
Cambodia,2021-08,6859984,404803,9,1201442306
Cambodia,2021-09,5417771,319701,10,969014866
Cambodia,2021-10,3519670,207694,11,805830936
Cambodia,2021-11,821609,48484,12,582593278
Cameroon,2021-04,11551,426,5,533501731
Cameroon,2021-05,58696,2156,6,792994644
Cameroon,2021-06,40409,1482,7,1136984197
Cameroon,2021-07,226595,8326,8,1060429251
Cameroon,2021-08,90814,3335,9,1201442306
Cameroon,2021-09,37398,1373,10,969014866
Cameroon,2021-10,38951,1431,11,805830936
Cameroon,2021-11,60849,2234,12,582593278
Canada,2020-12,71774,1886,1,8698776
Canada,2021-01,854207,22440,2,93138028
Canada,2021-02,825165,21676,3,170467452
Canada,2021-03,3439556,90353,4,340529467
Canada,2021-04,7495469,196896,5,533501731
Canada,2021-05,10214992,268338,6,792994644
Canada,2021-06,12992548,341299,7,1136984197
Canada,2021-07,12804745,336367,8,1060429251
Canada,2021-08,4521650,118776,9,1201442306
Canada,2021-09,2788950,73264,10,969014866
