country,date_month_string,positive_per_country,neutral_per_country,negative_per_country,positive_rate_per_country,neutral_rate_per_country,negative_rate_per_country,date_month_number,positive_globally,neutral_globally,negative_globally,positive_rate_globally,neutral_rate_globally,negative_rate_globally
Guatemala,2021-10,0,1,0,0,1,0,11,845,3591,213,0.18175951817595182,0.7724241772424177,0.04581630458163046
Guatemala,2021-11,0,1,0,0,1,0,12,642,2340,180,0.2030360531309298,0.7400379506641366,0.056925996204933584
Guinea,2021-02,0,1,0,0,1,0,3,596,2994,190,0.15767195767195769,0.792063492063492,0.05026455026455026
Guinea,2021-07,0,1,0,0,1,0,8,714,4576,221,0.12955906369080022,0.8303393213572854,0.040101614951914354
Guinea,2021-09,0,2,0,0,1,0,10,775,3516,202,0.17249054084130871,0.7825506343200535,0.04495882483863788
Guinea,2021-10,0,2,0,0,1,0,11,845,3591,213,0.18175951817595182,0.7724241772424177,0.04581630458163046
Guyana,2020-12,0,1,0,0,1,0,1,136,547,38,0.18862690707350901,0.7586685159500693,0.052704576976421634
Guyana,2021-02,0,5,0,0,1,0,3,596,2994,190,0.15767195767195769,0.792063492063492,0.05026455026455026
Guyana,2021-03,0,0,1,0,0,1,4,1741,7767,771,0.16937445276777896,0.7556182508026072,0.07500729642961378
Guyana,2021-04,0,2,0,0,1,0,5,1631,8060,871,0.15442151107744745,0.7631130467714448,0.08246544215110775
Guyana,2021-05,0,1,0,0,1,0,6,948,5191,350,0.14609338881183542,0.7999691786099553,0.05393743257820928
Guyana,2021-06,0,4,0,0,1,0,7,1307,7305,470,0.14391103281215592,0.8043382514864568,0.05175071570138736
Guyana,2021-07,1,0,1,0.5,0,0.5,8,714,4576,221,0.12955906369080022,0.8303393213572854,0.040101614951914354
Guyana,2021-11,1,0,0,1,0,0,12,642,2340,180,0.2030360531309298,0.7400379506641366,0.056925996204933584
Haiti,2021-03,0,2,0,0,1,0,4,1741,7767,771,0.16937445276777896,0.7556182508026072,0.07500729642961378
Haiti,2021-04,1,0,0,1,0,0,5,1631,8060,871,0.15442151107744745,0.7631130467714448,0.08246544215110775
Haiti,2021-06,0,1,0,0,1,0,7,1307,7305,470,0.14391103281215592,0.8043382514864568,0.05175071570138736
Haiti,2021-08,0,1,0,0,1,0,9,1022,6651,474,0.12544494906100406,0.816374125444949,0.05818092549404689
Haiti,2021-09,0,1,0,0,1,0,10,775,3516,202,0.17249054084130871,0.7825506343200535,0.04495882483863788
Honduras,2021-02,0,1,0,0,1,0,3,596,2994,190,0.15767195767195769,0.792063492063492,0.05026455026455026
Honduras,2021-05,0,2,0,0,1,0,6,948,5191,350,0.14609338881183542,0.7999691786099553,0.05393743257820928
Honduras,2021-06,0,3,0,0,1,0,7,1307,7305,470,0.14391103281215592,0.8043382514864568,0.05175071570138736
Honduras,2021-07,1,0,0,1,0,0,8,714,4576,221,0.12955906369080022,0.8303393213572854,0.040101614951914354
Honduras,2021-08,0,1,0,0,1,0,9,1022,6651,474,0.12544494906100406,0.816374125444949,0.05818092549404689
Honduras,2021-10,0,1,0,0,1,0,11,845,3591,213,0.18175951817595182,0.7724241772424177,0.04581630458163046
Hong Kong,2020-12,0,3,0,0,1,0,1,136,547,38,0.18862690707350901,0.7586685159500693,0.052704576976421634
Hong Kong,2021-01,0,2,1,0,0.6666666666666666,0.3333333333333333,2,191,678,90,0.1991657977059437,0.7069864442127216,0.09384775808133472
Hong Kong,2021-02,1,40,4,0.022222222222222223,0.8888888888888888,0.08888888888888889,3,596,2994,190,0.15767195767195769,0.792063492063492,0.05026455026455026
Hong Kong,2021-03,5,55,22,0.06097560975609756,0.6707317073170732,0.2682926829268293,4,1741,7767,771,0.16937445276777896,0.7556182508026072,0.07500729642961378
Hong Kong,2021-04,6,29,6,0.14634146341463414,0.7073170731707317,0.14634146341463414,5,1631,8060,871,0.15442151107744745,0.7631130467714448,0.08246544215110775
Hong Kong,2021-05,2,18,8,0.07142857142857142,0.6428571428571429,0.2857142857142857,6,948,5191,350,0.14609338881183542,0.7999691786099553,0.05393743257820928
Hong Kong,2021-06,2,35,8,0.044444444444444446,0.7777777777777778,0.17777777777777778,7,1307,7305,470,0.14391103281215592,0.8043382514864568,0.05175071570138736
Hong Kong,2021-07,0,20,3,0,0.8695652173913043,0.13043478260869565,8,714,4576,221,0.12955906369080022,0.8303393213572854,0.040101614951914354
Hong Kong,2021-08,4,47,7,0.06896551724137931,0.8103448275862069,0.1206896551724138,9,1022,6651,474,0.12544494906100406,0.816374125444949,0.05818092549404689
Hong Kong,2021-09,1,18,2,0.047619047619047616,0.8571428571428571,0.09523809523809523,10,775,3516,202,0.17249054084130871,0.7825506343200535,0.04495882483863788
Hong Kong,2021-10,4,12,1,0.23529411764705882,0.7058823529411765,0.058823529411764705,11,845,3591,213,0.18175951817595182,0.7724241772424177,0.04581630458163046
Hong Kong,2021-11,0,2,3,0,0.4,0.6,12,642,2340,180,0.2030360531309298,0.7400379506641366,0.056925996204933584
Hungary,2021-01,0,4,0,0,1,0,2,191,678,90,0.1991657977059437,0.7069864442127216,0.09384775808133472
Hungary,2021-02,1,7,0,0.125,0.875,0,3,596,2994,190,0.15767195767195769,0.792063492063492,0.05026455026455026
Hungary,2021-03,0,8,2,0,0.8,0.2,4,1741,7767,771,0.16937445276777896,0.7556182508026072,0.07500729642961378
Hungary,2021-04,2,6,0,0.25,0.75,0,5,1631,8060,871,0.15442151107744745,0.7631130467714448,0.08246544215110775
Hungary,2021-05,0,3,0,0,1,0,6,948,5191,350,0.14609338881183542,0.7999691786099553,0.05393743257820928
Hungary,2021-06,1,1,0,0.5,0.5,0,7,1307,7305,470,0.14391103281215592,0.8043382514864568,0.05175071570138736
Hungary,2021-07,1,2,1,0.25,0.5,0.25,8,714,4576,221,0.12955906369080022,0.8303393213572854,0.040101614951914354
Hungary,2021-08,0,4,0,0,1,0,9,1022,6651,474,0.12544494906100406,0.816374125444949,0.05818092549404689
Hungary,2021-09,0,1,0,0,1,0,10,775,3516,202,0.17249054084130871,0.7825506343200535,0.04495882483863788
Hungary,2021-10,1,0,0,1,0,0,11,845,3591,213,0.18175951817595182,0.7724241772424177,0.04581630458163046
Hungary,2021-11,0,1,0,0,1,0,12,642,2340,180,0.2030360531309298,0.7400379506641366,0.056925996204933584
Iceland,2020-12,0,1,0,0,1,0,1,136,547,38,0.18862690707350901,0.7586685159500693,0.052704576976421634
Iceland,2021-03,1,2,0,0.3333333333333333,0.6666666666666666,0,4,1741,7767,771,0.16937445276777896,0.7556182508026072,0.07500729642961378
Iceland,2021-04,1,0,0,1,0,0,5,1631,8060,871,0.15442151107744745,0.7631130467714448,0.08246544215110775
Iceland,2021-05,0,1,0,0,1,0,6,948,5191,350,0.14609338881183542,0.7999691786099553,0.05393743257820928
Iceland,2021-06,0,1,0,0,1,0,7,1307,7305,470,0.14391103281215592,0.8043382514864568,0.05175071570138736
Iceland,2021-07,0,2,0,0,1,0,8,714,4576,221,0.12955906369080022,0.8303393213572854,0.040101614951914354
Iceland,2021-09,0,1,0,0,1,0,10,775,3516,202,0.17249054084130871,0.7825506343200535,0.04495882483863788
India,2020-12,6,69,5,0.075,0.8625,0.0625,1,136,547,38,0.18862690707350901,0.7586685159500693,0.052704576976421634
